id,titre,artiste,album,annee,genre,duree_sec,ecoutes
73,Master of Puppets,Metallica,Album 3 - Metallica,2012,METAL,343,333637
74,One,Metallica,Album 4 - Metallica,1992,METAL,189,3190
75,The Unforgiven,Metallica,Album 5 - Metallica,1990,METAL,320,306194
76,Fade to Black,Metallica,Album 6 - Metallica,2006,METAL,346,486097
77,Seek and Destroy,Metallica,Album 7 - Metallica,2025,METAL,275,362131
78,For Whom the Bell Tolls,Metallica,Album 8 - Metallica,2016,METAL,184,286658
79,Sad but True,Metallica,Album 9 - Metallica,1984,METAL,271,308747
80,Fuel,Metallica,Album 10 - Metallica,1978,METAL,303,459773
81,Hello,Adele,Album 1 - Adele,2014,POP,279,152900
82,Someone Like You,Adele,Album 2 - Adele,1975,POP,256,351015
83,Rolling in the Deep,Adele,Album 3 - Adele,1980,POP,184,411247
84,Easy on Me,Adele,Album 4 - Adele,2020,POP,300,160934
85,Set Fire to the Rain,Adele,Album 5 - Adele,2002,POP,255,205185
86,When We Were Young,Adele,Album 6 - Adele,2021,POP,188,273145
87,Skyfall,Adele,Album 7 - Adele,2021,POP,200,197635
88,Send My Love,Adele,Album 8 - Adele,1970,POP,177,204630
89,Hometown Glory,Adele,Album 9 - Adele,1974,POP,163,437651
90,Chasing Pavements,Adele,Album 10 - Adele,1992,POP,315,185784
91,Bohemian Rhapsody,Queen,Album 1 - Queen,2019,ROCK,156,13912
92,We Will Rock You,Queen,Album 2 - Queen,2002,ROCK,271,172340
93,We Are the Champions,Queen,Album 3 - Queen,2013,ROCK,227,236503
94,Another One Bites the Dust,Queen,Album 4 - Queen,1990,ROCK,181,261369
95,Somebody to Love,Queen,Album 5 - Queen,1999,ROCK,296,324827
96,Dont Stop Me Now,Queen,Album 6 - Queen,2021,ROCK,193,81182
97,Under Pressure,Queen,Album 7 - Queen,2007,ROCK,283,109020
98,Killer Queen,Queen,Album 8 - Queen,1997,ROCK,309,176880
99,Radio Ga Ga,Queen,Album 9 - Queen,1999,ROCK,303,122830
100,Crazy Little Thing Called Love,Queen,Album 10 - Queen,2013,ROCK,331,36942
101,Yellow,Coldplay,Album 1 - Coldplay,2005,ROCK,252,18405
102,Fix You,Coldplay,Album 2 - Coldplay,1982,ROCK,315,483608
103,Viva la Vida,Coldplay,Album 3 - Coldplay,1981,ROCK,161,340359
104,The Scientist,Coldplay,Album 4 - Coldplay,2004,ROCK,162,237384
105,Clocks,Coldplay,Album 5 - Coldplay,2025,ROCK,343,336491
106,Paradise,Coldplay,Album 6 - Coldplay,1982,ROCK,273,373240
107,A Sky Full of Stars,Coldplay,Album 7 - Coldplay,2013,ROCK,155,68206
108,Adventure of a Lifetime,Coldplay,Album 8 - Coldplay,2011,ROCK,285,115174
109,In My Place,Coldplay,Album 9 - Coldplay,2020,ROCK,282,469536
110,Hymn for the Weekend,Coldplay,Album 10 - Coldplay,1978,ROCK,191,347171
111,Gods Plan,Drake,Album 1 - Drake,2024,HIPHOP,197,204957
112,Hotline Bling,Drake,Album 2 - Drake,1987,HIPHOP,258,279951
113,One Dance,Drake,Album 3 - Drake,1996,HIPHOP,170,201399
114,Passionfruit,Drake,Album 4 - Drake,1989,HIPHOP,197,180889
115,Started From the Bottom,Drake,Album 5 - Drake,1981,HIPHOP,217,243725
116,In My Feelings,Drake,Album 6 - Drake,2001,HIPHOP,349,427791
117,Marvins Room,Drake,Album 7 - Drake,1996,HIPHOP,223,245709
118,Nice for What,Drake,Album 8 - Drake,1981,HIPHOP,233,272781
119,Hold On Were Going Home,Drake,Album 9 - Drake,2000,HIPHOP,263,63469
120,Take Care,Drake,Album 10 - Drake,2003,HIPHOP,353,275593
121,Love Story,Taylor Swift,Album 1 - Taylor Swift,2020,POP,220,428398
122,Blank Space,Taylor Swift,Album 2 - Taylor Swift,1976,POP,204,121786
123,Shake It Off,Taylor Swift,Album 3 - Taylor Swift,1970,POP,173,461150
124,Anti Hero,Taylor Swift,Album 4 - Taylor Swift,1999,POP,315,173746
125,Cardigan,Taylor Swift,Album 5 - Taylor Swift,1996,POP,289,411182
126,Cruel Summer,Taylor Swift,Album 6 - Taylor Swift,2023,POP,321,96157
127,Style,Taylor Swift,Album 7 - Taylor Swift,1971,POP,240,444330
128,Delicate,Taylor Swift,Album 8 - Taylor Swift,1980,POP,240,295151
129,Wildest Dreams,Taylor Swift,Album 9 - Taylor Swift,2013,POP,296,415632
130,Willow,Taylor Swift,Album 10 - Taylor Swift,2004,POP,205,58010
131,Just the Way You Are,Bruno Mars,Album 1 - Bruno Mars,2009,RNB,333,147548
132,Grenade,Bruno Mars,Album 2 - Bruno Mars,2005,RNB,342,298317
133,Locked Out of Heaven,Bruno Mars,Album 3 - Bruno Mars,2016,RNB,204,299257
134,Uptown Funk,Bruno Mars,Album 4 - Bruno Mars,1988,RNB,294,141061
135,24K Magic,Bruno Mars,Album 5 - Bruno Mars,2012,RNB,292,70030
136,When I Was Your Man,Bruno Mars,Album 6 - Bruno Mars,1976,RNB,350,138761
137,Treasure,Bruno Mars,Album 7 - Bruno Mars,1976,RNB,261,90297
138,That’s What I Like,Bruno Mars,Album 8 - Bruno Mars,1976,RNB,325,32180
139,Versace on the Floor,Bruno Mars,Album 9 - Bruno Mars,2018,RNB,241,379223
140,Talking to the Moon,Bruno Mars,Album 10 - Bruno Mars,2021,RNB,197,339160
141,Umbrella,Rihanna,Album 1 - Rihanna,2010,RNB,177,266118
142,Diamonds,Rihanna,Album 2 - Rihanna,1990,RNB,220,308838
143,We Found Love,Rihanna,Album 3 - Rihanna,2023,RNB,166,153086
144,Stay,Rihanna,Album 4 - Rihanna,1990,RNB,191,137264
145,Only Girl,Rihanna,Album 5 - Rihanna,1986,RNB,166,7772
146,Work,Rihanna,Album 6 - Rihanna,1996,RNB,348,135264
147,Love on the Brain,Rihanna,Album 7 - Rihanna,1996,RNB,153,30547
148,Rude Boy,Rihanna,Album 8 - Rihanna,1976,RNB,210,12546
149,Disturbia,Rihanna,Album 9 - Rihanna,1989,RNB,181,49714
150,Where Have You Been,Rihanna,Album 10 - Rihanna,2013,RNB,293,302742
151,Halo,Beyonce,Album 1 - Beyonce,2024,RNB,239,165637
152,Crazy in Love,Beyonce,Album 2 - Beyonce,2019,RNB,266,318876
153,Single Ladies,Beyonce,Album 3 - Beyonce,2010,RNB,317,374955
154,Love on Top,Beyonce,Album 4 - Beyonce,2009,RNB,159,485332
155,Formation,Beyonce,Album 5 - Beyonce,1995,RNB,230,319154
156,Drunk in Love,Beyonce,Album 6 - Beyonce,1983,RNB,302,243072
157,Irreplaceable,Beyonce,Album 7 - Beyonce,1997,RNB,323,461036
158,Run the World,Beyonce,Album 8 - Beyonce,1977,RNB,325,196660
159,If I Were a Boy,Beyonce,Album 9 - Beyonce,2025,RNB,278,357751
160,Break My Soul,Beyonce,Album 10 - Beyonce,1986,RNB,249,153529
161,HUMBLE,Kendrick Lamar,Album 1 - Kendrick Lamar,2022,HIPHOP,241,30715
162,DNA,Kendrick Lamar,Album 2 - Kendrick Lamar,2017,HIPHOP,333,229478
163,Alright,Kendrick Lamar,Album 3 - Kendrick Lamar,1971,HIPHOP,222,365037
164,Loyalty,Kendrick Lamar,Album 4 - Kendrick Lamar,1991,HIPHOP,224,381723
165,King Kunta,Kendrick Lamar,Album 5 - Kendrick Lamar,2019,HIPHOP,354,480675
166,Money Trees,Kendrick Lamar,Album 6 - Kendrick Lamar,1977,HIPHOP,226,403097
167,Swimming Pools,Kendrick Lamar,Album 7 - Kendrick Lamar,1996,HIPHOP,231,307526
168,Love,Kendrick Lamar,Album 8 - Kendrick Lamar,1971,HIPHOP,288,180060
169,N95,Kendrick Lamar,Album 9 - Kendrick Lamar,1982,HIPHOP,293,29936
170,Not Like Us,Kendrick Lamar,Album 10 - Kendrick Lamar,2016,HIPHOP,178,85499
171,Do I Wanna Know,Arctic Monkeys,Album 1 - Arctic Monkeys,2009,ROCK,181,62514
172,R U Mine,Arctic Monkeys,Album 2 - Arctic Monkeys,1972,ROCK,182,274484
173,505,Arctic Monkeys,Album 3 - Arctic Monkeys,1992,ROCK,302,340182
174,Why’d You Only Call Me When You’re High,Arctic Monkeys,Album 4 - Arctic Monkeys,2011,ROCK,227,15596
175,I Bet You Look Good on the Dancefloor,Arctic Monkeys,Album 5 - Arctic Monkeys,1997,ROCK,298,66716
176,Fluorescent Adolescent,Arctic Monkeys,Album 6 - Arctic Monkeys,1992,ROCK,256,201882
177,Arabella,Arctic Monkeys,Album 7 - Arctic Monkeys,1994,ROCK,211,407661
178,Snap Out of It,Arctic Monkeys,Album 8 - Arctic Monkeys,1996,ROCK,319,115615
179,Crying Lightning,Arctic Monkeys,Album 9 - Arctic Monkeys,2019,ROCK,182,96689
180,Mardy Bum,Arctic Monkeys,Album 10 - Arctic Monkeys,2004,ROCK,157,347349
181,Sugar,Maroon 5,Album 1 - Maroon 5,2015,POP,288,358983
182,Girls Like You,Maroon 5,Album 2 - Maroon 5,2005,POP,251,466668
183,Moves Like Jagger,Maroon 5,Album 3 - Maroon 5,1986,POP,351,77928
184,This Love,Maroon 5,Album 4 - Maroon 5,1984,POP,155,9200
185,Payphone,Maroon 5,Album 5 - Maroon 5,1987,POP,288,251551
186,Memories,Maroon 5,Album 6 - Maroon 5,1996,POP,217,165516
187,Animals,Maroon 5,Album 7 - Maroon 5,1978,POP,310,311743
188,She Will Be Loved,Maroon 5,Album 8 - Maroon 5,1975,POP,195,290421
189,Maps,Maroon 5,Album 9 - Maroon 5,1972,POP,316,454599
190,Sunday Morning,Maroon 5,Album 10 - Maroon 5,2022,POP,281,430344
191,Bad Romance,Lady Gaga,Album 1 - Lady Gaga,1986,POP,237,332377
192,Poker Face,Lady Gaga,Album 2 - Lady Gaga,2003,POP,343,390094
193,Shallow,Lady Gaga,Album 3 - Lady Gaga,1990,POP,164,345412
194,Born This Way,Lady Gaga,Album 4 - Lady Gaga,2023,POP,152,329678
195,Just Dance,Lady Gaga,Album 5 - Lady Gaga,1985,POP,270,31064
196,Paparazzi,Lady Gaga,Album 6 - Lady Gaga,1984,POP,323,267163
197,Alejandro,Lady Gaga,Album 7 - Lady Gaga,2025,POP,188,486635
198,The Edge of Glory,Lady Gaga,Album 8 - Lady Gaga,2017,POP,252,371312
199,Rain on Me,Lady Gaga,Album 9 - Lady Gaga,1993,POP,352,122403
200,Million Reasons,Lady Gaga,Album 10 - Lady Gaga,2005,POP,220,180691
201,All You Need Is Love,The Beatles,Album 1 - The Beatles,2025,ROCK,201,196964
202,Love Me Do,The Beatles,Album 2 - The Beatles,1992,ROCK,267,334477
203,And I Love Her,The Beatles,Album 3 - The Beatles,1999,ROCK,290,425926
204,Something,The Beatles,Album 4 - The Beatles,2000,ROCK,351,353557
205,Hey Jude,The Beatles,Album 5 - The Beatles,2007,ROCK,229,99014
206,Let It Be,The Beatles,Album 6 - The Beatles,1980,ROCK,310,215740
207,Yesterday,The Beatles,Album 7 - The Beatles,1979,ROCK,274,469107
208,Come Together,The Beatles,Album 8 - The Beatles,1970,ROCK,240,427141
209,Here Comes the Sun,The Beatles,Album 9 - The Beatles,2023,ROCK,283,368732
210,In My Life,The Beatles,Album 10 - The Beatles,1996,ROCK,353,20164
211,Your Song,Elton John,Album 1 - Elton John,2010,POP,194,44648
212,Rocket Man,Elton John,Album 2 - Elton John,1989,POP,245,287141
213,Tiny Dancer,Elton John,Album 3 - Elton John,2016,POP,217,72831
214,Candle in the Wind,Elton John,Album 4 - Elton John,2015,POP,339,53322
215,Im Still Standing,Elton John,Album 5 - Elton John,1971,POP,286,114334
216,Sacrifice,Elton John,Album 6 - Elton John,2024,POP,328,305839
217,Bennie and the Jets,Elton John,Album 7 - Elton John,1989,POP,296,23905
218,Goodbye Yellow Brick Road,Elton John,Album 8 - Elton John,1995,POP,247,283081
219,Daniel,Elton John,Album 9 - Elton John,2003,POP,357,338165
220,Levon,Elton John,Album 10 - Elton John,2012,POP,190,267237
221,One Love,Bob Marley,Album 1 - Bob Marley,1976,REGGAE,171,74892
222,Three Little Birds,Bob Marley,Album 2 - Bob Marley,2016,REGGAE,249,175407
223,Redemption Song,Bob Marley,Album 3 - Bob Marley,2005,REGGAE,216,163249
224,Is This Love,Bob Marley,Album 4 - Bob Marley,1972,REGGAE,338,311256
225,No Woman No Cry,Bob Marley,Album 5 - Bob Marley,2012,REGGAE,351,99997
226,Could You Be Loved,Bob Marley,Album 6 - Bob Marley,1980,REGGAE,224,155317
227,Jamming,Bob Marley,Album 7 - Bob Marley,2004,REGGAE,223,187787
228,Waiting in Vain,Bob Marley,Album 8 - Bob Marley,1978,REGGAE,249,99431
229,Stir It Up,Bob Marley,Album 9 - Bob Marley,2017,REGGAE,311,5453
230,Buffalo Soldier,Bob Marley,Album 10 - Bob Marley,2024,REGGAE,305,340124
231,Thank U Next,Ariana Grande,Album 1 - Ariana Grande,2000,POP,258,186967
232,7 Rings,Ariana Grande,Album 2 - Ariana Grande,2021,POP,347,473474
233,Into You,Ariana Grande,Album 3 - Ariana Grande,2019,POP,287,90093
234,Positions,Ariana Grande,Album 4 - Ariana Grande,2016,POP,282,15973
235,Problem,Ariana Grande,Album 5 - Ariana Grande,1981,POP,230,283141
236,No Tears Left to Cry,Ariana Grande,Album 6 - Ariana Grande,1979,POP,191,15399
237,One Last Time,Ariana Grande,Album 7 - Ariana Grande,1977,POP,281,350568
238,Dangerous Woman,Ariana Grande,Album 8 - Ariana Grande,2015,POP,314,402531
239,God Is a Woman,Ariana Grande,Album 9 - Ariana Grande,1970,POP,245,33844
240,Side to Side,Ariana Grande,Album 10 - Ariana Grande,1993,POP,227,113846
241,Levitating,Dua Lipa,Album 1 - Dua Lipa,2004,ELECTRONIC,189,314808
242,Dont Start Now,Dua Lipa,Album 2 - Dua Lipa,2009,ELECTRONIC,213,66835
243,New Rules,Dua Lipa,Album 3 - Dua Lipa,1976,ELECTRONIC,233,254551
244,Physical,Dua Lipa,Album 4 - Dua Lipa,1976,ELECTRONIC,336,38841
245,Break My Heart,Dua Lipa,Album 5 - Dua Lipa,1994,ELECTRONIC,217,323961
246,Houdini,Dua Lipa,Album 6 - Dua Lipa,1989,ELECTRONIC,315,62129
247,Training Season,Dua Lipa,Album 7 - Dua Lipa,1992,ELECTRONIC,271,477339
248,Be the One,Dua Lipa,Album 8 - Dua Lipa,2001,ELECTRONIC,180,291790
249,Love Again,Dua Lipa,Album 9 - Dua Lipa,2003,ELECTRONIC,213,434947
250,IDGAF,Dua Lipa,Album 10 - Dua Lipa,1992,ELECTRONIC,324,427941
251,Circles,Post Malone,Album 1 - Post Malone,1999,HIPHOP,299,181441
252,Sunflower,Post Malone,Album 2 - Post Malone,1975,HIPHOP,167,408944
253,Rockstar,Post Malone,Album 3 - Post Malone,1975,HIPHOP,356,259924
254,Congratulations,Post Malone,Album 4 - Post Malone,2019,HIPHOP,229,139595
255,Better Now,Post Malone,Album 5 - Post Malone,2018,HIPHOP,319,119014
256,White Iverson,Post Malone,Album 6 - Post Malone,1980,HIPHOP,233,227305
257,Chemical,Post Malone,Album 7 - Post Malone,2002,HIPHOP,293,174412
258,I Fall Apart,Post Malone,Album 8 - Post Malone,1990,HIPHOP,335,344983
259,Wow,Post Malone,Album 9 - Post Malone,2024,HIPHOP,276,211824
260,Goodbyes,Post Malone,Album 10 - Post Malone,1990,HIPHOP,195,103515
261,Believer,Imagine Dragons,Album 1 - Imagine Dragons,2021,ROCK,268,115932
262,Demons,Imagine Dragons,Album 2 - Imagine Dragons,2025,ROCK,326,482709
263,Thunder,Imagine Dragons,Album 3 - Imagine Dragons,1992,ROCK,344,413211
264,Radioactive,Imagine Dragons,Album 4 - Imagine Dragons,1992,ROCK,254,436509
265,Whatever It Takes,Imagine Dragons,Album 5 - Imagine Dragons,2021,ROCK,301,200582
266,Enemy,Imagine Dragons,Album 6 - Imagine Dragons,1983,ROCK,189,232063
267,Bones,Imagine Dragons,Album 7 - Imagine Dragons,2017,ROCK,295,344874
268,Natural,Imagine Dragons,Album 8 - Imagine Dragons,2017,ROCK,182,226623
269,Bad Liar,Imagine Dragons,Album 9 - Imagine Dragons,1987,ROCK,234,438619
270,On Top of the World,Imagine Dragons,Album 10 - Imagine Dragons,1977,ROCK,231,140199
271,In the End,Linkin Park,Album 1 - Linkin Park,2023,ROCK,263,138714
272,Numb,Linkin Park,Album 2 - Linkin Park,1979,ROCK,289,329163
273,Crawling,Linkin Park,Album 3 - Linkin Park,1987,ROCK,209,174443
274,One Step Closer,Linkin Park,Album 4 - Linkin Park,1979,ROCK,293,405471
275,Breaking the Habit,Linkin Park,Album 5 - Linkin Park,1977,ROCK,218,154362
276,What I’ve Done,Linkin Park,Album 6 - Linkin Park,2006,ROCK,267,332474
277,Somewhere I Belong,Linkin Park,Album 7 - Linkin Park,1995,ROCK,252,11887
278,Faint,Linkin Park,Album 8 - Linkin Park,2005,ROCK,333,173079
279,Papercut,Linkin Park,Album 9 - Linkin Park,2013,ROCK,254,177099
280,New Divide,Linkin Park,Album 10 - Linkin Park,1976,ROCK,323,402709
281,Chandelier,Sia,Album 1 - Sia,2001,POP,323,444758
282,Cheap Thrills,Sia,Album 2 - Sia,2010,POP,320,401249
283,Elastic Heart,Sia,Album 3 - Sia,2004,POP,282,110554
284,Unstoppable,Sia,Album 4 - Sia,1997,POP,240,340356
285,Titanium,Sia,Album 5 - Sia,1991,POP,165,484360
286,Alive,Sia,Album 6 - Sia,1995,POP,335,91185
287,Snowman,Sia,Album 7 - Sia,1970,POP,218,293535
288,The Greatest,Sia,Album 8 - Sia,2014,POP,214,68971
289,Breathe Me,Sia,Album 9 - Sia,1991,POP,298,338333
290,Never Give Up,Sia,Album 10 - Sia,2009,POP,256,437190
291,Sorry,Justin Bieber,Album 1 - Justin Bieber,2019,POP,355,250031
292,Love Yourself,Justin Bieber,Album 2 - Justin Bieber,2024,POP,273,178100
293,Baby,Justin Bieber,Album 3 - Justin Bieber,1970,POP,159,397527
294,Peaches,Justin Bieber,Album 4 - Justin Bieber,1984,POP,312,63855
295,What Do You Mean,Justin Bieber,Album 5 - Justin Bieber,2012,POP,218,171739
296,Stay (Studio Version),Justin Bieber,Album 6 - Justin Bieber,1971,POP,349,110193
297,Yummy,Justin Bieber,Album 7 - Justin Bieber,2020,POP,267,270477
298,Company,Justin Bieber,Album 8 - Justin Bieber,1987,POP,309,330890
299,Anyone,Justin Bieber,Album 9 - Justin Bieber,1993,POP,170,291880
300,Ghost,Justin Bieber,Album 10 - Justin Bieber,2014,POP,198,283070
301,Bad Guy,Billie Eilish,Album 1 - Billie Eilish,2019,POP,152,50618
302,Lovely,Billie Eilish,Album 2 - Billie Eilish,1979,POP,234,115531
303,Happier Than Ever,Billie Eilish,Album 3 - Billie Eilish,1999,POP,202,318261
304,Ocean Eyes,Billie Eilish,Album 4 - Billie Eilish,2013,POP,193,370393
305,When the Party’s Over,Billie Eilish,Album 5 - Billie Eilish,1989,POP,171,298099
306,Everything I Wanted,Billie Eilish,Album 6 - Billie Eilish,1996,POP,332,274073
307,Therefore I Am,Billie Eilish,Album 7 - Billie Eilish,2013,POP,300,293659
308,Bury a Friend,Billie Eilish,Album 8 - Billie Eilish,1978,POP,177,15339
309,Birds of a Feather,Billie Eilish,Album 9 - Billie Eilish,1987,POP,257,23819
310,What Was I Made For,Billie Eilish,Album 10 - Billie Eilish,1981,POP,290,385458
311,Boulevard of Broken Dreams,Green Day,Album 1 - Green Day,2002,ROCK,209,495157
312,American Idiot,Green Day,Album 2 - Green Day,2000,ROCK,318,348129
313,Wake Me Up When September Ends,Green Day,Album 3 - Green Day,1991,ROCK,237,182644
314,Holiday,Green Day,Album 4 - Green Day,1990,ROCK,305,251996
315,21 Guns,Green Day,Album 5 - Green Day,1986,ROCK,275,463582
316,Basket Case,Green Day,Album 6 - Green Day,1990,ROCK,214,19749
317,Good Riddance,Green Day,Album 7 - Green Day,2011,ROCK,275,70353
318,When I Come Around,Green Day,Album 8 - Green Day,1971,ROCK,273,424623
319,Brain Stew,Green Day,Album 9 - Green Day,1993,ROCK,214,439075
320,Longview,Green Day,Album 10 - Green Day,2018,ROCK,269,104693
321,Wonderwall,Oasis,Album 1 - Oasis,1993,ROCK,220,269089
322,Dont Look Back in Anger,Oasis,Album 2 - Oasis,2023,ROCK,337,210176
323,Champagne Supernova,Oasis,Album 3 - Oasis,1989,ROCK,205,305500
324,Live Forever,Oasis,Album 4 - Oasis,1973,ROCK,358,215908
325,Stop Crying Your Heart Out,Oasis,Album 5 - Oasis,2025,ROCK,166,381075
326,Supersonic,Oasis,Album 6 - Oasis,2016,ROCK,315,347138
327,Some Might Say,Oasis,Album 7 - Oasis,2002,ROCK,324,279563
328,Morning Glory,Oasis,Album 8 - Oasis,2019,ROCK,226,253519
329,Whatever,Oasis,Album 9 - Oasis,2009,ROCK,173,447743
330,Stand by Me,Oasis,Album 10 - Oasis,2002,ROCK,283,312886
331,Dancing Queen,ABBA,Album 1 - ABBA,1990,POP,275,167189
332,Mamma Mia,ABBA,Album 2 - ABBA,2012,POP,236,189285
333,The Winner Takes It All,ABBA,Album 3 - ABBA,1981,POP,169,295172
334,Gimme Gimme Gimme,ABBA,Album 4 - ABBA,2025,POP,354,91908
335,Take a Chance on Me,ABBA,Album 5 - ABBA,2018,POP,215,497248
336,Waterloo,ABBA,Album 6 - ABBA,2025,POP,285,273414
337,Fernando,ABBA,Album 7 - ABBA,2025,POP,248,331085
338,Chiquitita,ABBA,Album 8 - ABBA,1976,POP,305,113139
339,Voulez Vous,ABBA,Album 9 - ABBA,1971,POP,268,126798
340,Knowing Me Knowing You,ABBA,Album 10 - ABBA,1983,POP,259,266856
